37, Private,323155, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,85, Mexico, <=50K
53, Private,130143, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States, <=50K
34, Private,509364, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,30, United-States, <=50K
48, Local-gov,273402, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,40, United-States, <=50K
21, Private,163870, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
19, Private,71650, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private,60783, 10th,6, Never-married, Craft-repair, Own-child, White, Male,0,0,15, United-States, <=50K
71, Private,180733, Masters,14, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
22, Private,231912, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White, Female,0,0,37, United-States, <=50K
31, Private,156464, 10th,6, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, State-gov,196504, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,38, United-States, <=50K
23, State-gov,93076, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
44, Private,81853, HS-grad,9, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
26, Federal-gov,171928, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Male,0,0,50, Japan, <=50K
49, Federal-gov,128990, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
37, Self-emp-not-inc,268598, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7298,0,50, Puerto-Rico, >50K
24, Private,148709, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Private,174711, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,32, United-States, <=50K
29, Private,204862, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,36, United-States, <=50K
55, Self-emp-not-inc,185195, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
51, Local-gov,33863, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
51, Private,147200, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
29, ?,188675, Some-college,10, Divorced, ?, Own-child, Black, Male,0,0,40, United-States, <=50K
39, Private,288551, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
40, Private,109969, 11th,7, Divorced, Other-service, Other-relative, White, Female,0,0,20, United-States, <=50K
41, Private,120277, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
60, Private,25141, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
63, Private,225102, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, ?, <=50K
41, Private,184846, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private,106900, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,38, United-States, <=50K
26, ?,130832, Bachelors,13, Never-married, ?, Unmarried, White, Female,0,0,10, United-States, <=50K
41, Private,207685, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, ?, <=50K
42, Self-emp-not-inc,115323, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,7, ?, <=50K
53, Private,320510, 10th,6, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private,404416, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Private,42924, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
23, Private,201680, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private,436798, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
42, Private,121264, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
34, Private,199934, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,7298,0,40, United-States, >50K
18, ?,113185, 11th,7, Never-married, ?, Own-child, White, Male,0,0,25, United-States, <=50K
52, Private,164135, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
50, Private,421132, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private,232985, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,20, United-States, <=50K
34, Private,113198, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,28, United-States, <=50K
20, ?,117618, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private,340543, HS-grad,9, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private,85109, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1628,40, United-States, <=50K
47, State-gov,224149, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
19, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States, <=50K
22, Private,228411, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
21, Private,170456, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,35, Italy, <=50K
42, Federal-gov,153143, Some-college,10, Divorced, Adm-clerical, Other-relative, White, Female,0,0,40, Puerto-Rico, <=50K
26, Private,57512, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Self-emp-not-inc,391121, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States, <=50K
49, Self-emp-not-inc,179048, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Greece, <=50K
51, Self-emp-not-inc,20795, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, ?,182609, HS-grad,9, Never-married, ?, Own-child, Black, Female,0,0,25, United-States, <=50K
52, ?,294691, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-not-inc,160786, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
69, Private,200560, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,20, United-States, <=50K
41, Private,223934, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
63, Private,216413, Bachelors,13, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
52, Private,169182, 9th,5, Widowed, Other-service, Not-in-family, White, Female,0,0,25, Puerto-Rico, <=50K
25, ?,230856, HS-grad,9, Never-married, ?, Unmarried, Black, Female,0,0,40, United-States, <=50K
22, Private,251196, Some-college,10, Never-married, Protective-serv, Own-child, Black, Female,0,0,20, United-States, <=50K
25, Private,241025, Bachelors,13, Never-married, Other-service, Own-child, White, Male,0,0,18, United-States, <=50K
36, Private,749105, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,36, United-States, <=50K
53, State-gov,77651, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private,174196, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
31, Private,168782, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, ?,171748, Some-college,10, Never-married, ?, Own-child, Black, Female,0,0,24, United-States, <=50K
34, Private,181311, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
56, Private,340171, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
37, Private,291251, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private,111746, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Portugal, <=50K
26, Private,132572, Bachelors,13, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
28, Private,138283, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private,171968, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
32, Private,328199, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White, Female,0,0,64, United-States, <=50K
39, Self-emp-inc,114844, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,65, United-States, >50K
35, Self-emp-not-inc,120301, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
48, Private,30289, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
47, Local-gov,204377, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
49, Private,177426, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
49, Private,187563, Some-college,10, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private,342768, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc,246820, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,48, United-States, >50K
35, Private,113481, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
30, Private,341346, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Private,125762, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, >50K
40, Private,311534, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
48, Private,196107, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
40, Private,228535, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,36, United-States, >50K
47, Self-emp-not-inc,107231, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1672,65, United-States, <=50K
47, Private,168211, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States, <=50K
45, Self-emp-not-inc,210364, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,15024,0,80, United-States, >50K
50, Private,196232, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,50, United-States, >50K
40, Private,254167, 10th,6, Separated, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K
51, Self-emp-inc,338260, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,60, United-States, >50K
25, Private,184698, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
39, Private,187046, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,4064,0,38, United-States, <=50K
46, Private,108699, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K
32, Private,137076, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
27, Private,187746, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
20, Private,56322, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
43, Local-gov,293535, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
38, Private,201328, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
33, Local-gov,242150, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K
36, Private,182013, Some-college,10, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
59, Private,46466, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
50, Private,140516, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
35, Private,134367, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private,203488, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Local-gov,123983, Bachelors,13, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,1741,40, Vietnam, <=50K
44, Local-gov,262241, HS-grad,9, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
39, Private,297847, 9th,5, Married-civ-spouse, Other-service, Wife, Black, Female,3411,0,34, United-States, <=50K
46, Private,331776, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,153583, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
56, Private,53366, 7th-8th,4, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private,154863, Bachelors,13, Never-married, Adm-clerical, Own-child, Black, Male,0,0,35, United-States, <=50K
22, Private,83704, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, <=50K
18, Private,181712, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States, <=50K
45, Local-gov,175958, 9th,5, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
24, State-gov,257621, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
31, State-gov,60186, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private,196123, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
37, Federal-gov,419053, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private,25955, Assoc-voc,11, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
25, Private,38488, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private,283945, 10th,6, Never-married, Handlers-cleaners, Other-relative, White, Male,0,1602,45, United-States, <=50K
61, Self-emp-not-inc,221884, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, >50K
42, Self-emp-not-inc,82161, 10th,6, Widowed, Transport-moving, Unmarried, White, Male,0,0,35, United-States, <=50K
30, Private,110643, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White, Male,4386,0,40, United-States, >50K
33, Self-emp-not-inc,67482, Assoc-voc,11, Divorced, Other-service, Unmarried, White, Female,0,0,99, United-States, <=50K
22, Private,305781, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,45, Canada, <=50K
39, Private,380614, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, >50K
48, Private,278039, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
17, Private,275051, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,0,0,8, United-States, <=50K
38, Private,108140, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
32, Local-gov,206609, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc,224377, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
32, Private,177531, 10th,6, Divorced, Other-service, Unmarried, Black, Female,0,0,23, United-States, <=50K
37, Private,361888, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,10520,0,40, United-States, >50K
62, State-gov,159699, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,38, United-States, <=50K
66, Private,262285, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,99, United-States, <=50K
25, Private,134821, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
53, Local-gov,608184, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, >50K
42, Private,155972, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
48, Private,304791, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private,247162, Assoc-acdm,12, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
49, Private,166857, 9th,5, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Federal-gov,88913, Some-college,10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
59, Private,202682, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private,225053, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
37, Private,116960, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, >50K
34, Private,190040, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
22, Private,363219, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
17, ?,161981, 10th,6, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private,294936, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
18, Private,225859, Some-college,10, Never-married, Transport-moving, Own-child, White, Male,2907,0,30, United-States, <=50K
30, Local-gov,99502, Assoc-voc,11, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
29, Private,199499, Assoc-voc,11, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
21, Private,182117, Assoc-acdm,12, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private,353994, Bachelors,13, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, China, >50K
23, Local-gov,287988, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, ?,71701, HS-grad,9, Divorced, ?, Unmarried, White, Female,0,0,40, United-States, <=50K
49, Private,281647, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
24, Private,188925, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
32, Private,187560, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,3908,0,40, United-States, <=50K
47, Private,464945, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
30, Private,173647, Some-college,10, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc,241469, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,2635,0,30, United-States, <=50K
45, Private,137604, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private,259840, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
42, State-gov,190044, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
41, Local-gov,97064, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White, Female,0,0,44, United-States, <=50K
39, Private,117381, Some-college,10, Divorced, Transport-moving, Not-in-family, White, Male,0,0,65, United-States, <=50K
30, ?,298577, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,30, United-States, <=50K
37, Private,166497, Bachelors,13, Divorced, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
25, Private,326370, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,38, ?, <=50K
39, State-gov,122353, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
60, Private,225526, HS-grad,9, Separated, Sales, Not-in-family, White, Female,0,0,32, United-States, <=50K
33, Private,709798, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
58, ?,210031, HS-grad,9, Divorced, ?, Unmarried, White, Male,0,0,40, United-States, <=50K
24, Private,213902, 7th-8th,4, Never-married, Priv-house-serv, Own-child, White, Female,0,0,32, El-Salvador, <=50K
47, Private,183522, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,40, United-States, >50K
25, Private,171818, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
49, Private,173115, 10th,6, Separated, Exec-managerial, Not-in-family, Black, Male,4416,0,99, United-States, <=50K
23, Private,184271, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,36, United-States, <=50K
17, Private,270587, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,20, England, <=50K
20, Private,148294, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
67, ?,81761, Masters,14, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States, <=50K
55, Federal-gov,145401, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Self-emp-inc,64874, Assoc-acdm,12, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc,192654, Bachelors,13, Divorced, Transport-moving, Not-in-family, White, Male,0,0,65, United-States, <=50K
48, Private,175925, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States, <=50K
36, Local-gov,110866, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
39, Private,119272, 10th,6, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private,291386, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private,306785, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
81, Self-emp-not-inc,137018, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
63, Self-emp-not-inc,344128, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
24, Private,180060, Masters,14, Never-married, Exec-managerial, Own-child, White, Male,6849,0,90, United-States, <=50K
17, Private,46496, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,5, United-States, <=50K
52, Self-emp-not-inc,138611, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,7688,0,55, United-States, >50K
47, Private,155489, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,7688,0,55, United-States, >50K
20, Private,190963, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
45, Private,220641, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
20, State-gov,37482, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
73, Federal-gov,127858, Some-college,10, Widowed, Tech-support, Not-in-family, White, Female,3273,0,40, United-States, <=50K
19, Private,123718, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
60, ?,268954, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,12, United-States, >50K
17, Private,139183, 10th,6, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
51, Private,289436, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
42, Local-gov,125155, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,90, United-States, <=50K
32, Private,252752, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,13550,0,60, United-States, >50K
58, Private,56331, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,133520, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
39, Private,74163, 12th,8, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private,198727, HS-grad,9, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private,126945, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,25, United-States, <=50K
49, Private,134797, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, State-gov,156294, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
29, Private,192283, Some-college,10, Never-married, Other-service, Other-relative, White, Female,0,0,20, United-States, <=50K
18, Private,126142, 10th,6, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
19, ?,211553, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,35, United-States, <=50K
46, Self-emp-inc,120121, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
17, Private,108273, 10th,6, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
47, Private,190139, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
52, Private,202930, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
33, Private,115496, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
56, Private,99359, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,1617,40, United-States, <=50K
53, Private,97005, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States, >50K
29, Private,235168, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
33, Self-emp-not-inc,270889, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
33, Private,142675, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, United-States, <=50K
57, Local-gov,199546, Masters,14, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
49, Local-gov,298445, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1977,60, United-States, >50K
61, Private,95929, 9th,5, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Federal-gov,48458, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
22, Private,176321, 7th-8th,4, Never-married, Other-service, Unmarried, White, Female,0,0,40, Mexico, <=50K
29, Private,192384, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Local-gov,598995, Bachelors,13, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,42, United-States, <=50K
33, Private,125249, HS-grad,9, Separated, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
21, Private,83141, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,53, United-States, <=50K
30, Local-gov,257796, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private,20438, Some-college,10, Separated, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
